Year,State,State ANSI,Ag District Code,County,County ANSI,Commodity,Data Item,Value
2021,ILLINOIS,17,40,DE WITT,39,CORN,CORN - ACRES PLANTED,"100,300"
2021,ILLINOIS,17,40,DE WITT,39,CORN,"CORN, GRAIN - ACRES HARVESTED","99,000"
2021,ILLINOIS,17,40,DE WITT,39,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","20,711,000"
2021,ILLINOIS,17,40,DE WITT,39,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",209.2
2021,ILLINOIS,17,40,DE WITT,39,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",500
2021,ILLINOIS,17,40,DE WITT,39,HAY,"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","1,390"
2021,ILLINOIS,17,40,DE WITT,39,HAY,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",2.8
2021,ILLINOIS,17,40,DE WITT,39,SOYBEANS,SOYBEANS - ACRES HARVESTED,"103,700"
2021,ILLINOIS,17,40,DE WITT,39,SOYBEANS,SOYBEANS - ACRES PLANTED,"104,500"
2021,ILLINOIS,17,40,DE WITT,39,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","7,218,000"
2021,ILLINOIS,17,40,DE WITT,39,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",69.6
2021,ILLINOIS,17,40,LOGAN,107,CORN,CORN - ACRES PLANTED,"167,500"
2021,ILLINOIS,17,40,LOGAN,107,CORN,"CORN, GRAIN - ACRES HARVESTED","165,100"
2021,ILLINOIS,17,40,LOGAN,107,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","34,588,000"
2021,ILLINOIS,17,40,LOGAN,107,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",209.5
2021,ILLINOIS,17,40,LOGAN,107,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","1,460"
2021,ILLINOIS,17,40,LOGAN,107,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,600"
2021,ILLINOIS,17,40,LOGAN,107,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","130,000"
2021,ILLINOIS,17,40,LOGAN,107,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",89
2021,ILLINOIS,17,40,MACON,115,CORN,CORN - ACRES PLANTED,"135,000"
2021,ILLINOIS,17,40,MACON,115,CORN,"CORN, GRAIN - ACRES HARVESTED","133,200"
2021,ILLINOIS,17,40,MACON,115,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,451,000"
2021,ILLINOIS,17,40,MACON,115,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",221.1
2021,ILLINOIS,17,40,MACON,115,SOYBEANS,SOYBEANS - ACRES HARVESTED,"144,200"
2021,ILLINOIS,17,40,MACON,115,SOYBEANS,SOYBEANS - ACRES PLANTED,"145,500"
2021,ILLINOIS,17,40,MACON,115,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","10,570,000"
2021,ILLINOIS,17,40,MACON,115,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",73.3
2021,ILLINOIS,17,40,MACON,115,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","1,910"
2021,ILLINOIS,17,40,MACON,115,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,100"
2021,ILLINOIS,17,40,MACON,115,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","166,000"
2021,ILLINOIS,17,40,MACON,115,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",86.9
2021,ILLINOIS,17,40,MARSHALL,123,CORN,CORN - ACRES PLANTED,"94,400"
2021,ILLINOIS,17,40,MARSHALL,123,CORN,"CORN, GRAIN - ACRES HARVESTED","93,200"
2021,ILLINOIS,17,40,MARSHALL,123,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","19,991,000"
2021,ILLINOIS,17,40,MARSHALL,123,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",214.5
2021,ILLINOIS,17,40,MARSHALL,123,HAY,"HAY, ALFALFA - ACRES HARVESTED","2,460"
2021,ILLINOIS,17,40,MARSHALL,123,HAY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","11,800"
2021,ILLINOIS,17,40,MARSHALL,123,HAY,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",4.8
2021,ILLINOIS,17,40,MASON,125,CORN,CORN - ACRES PLANTED,"118,000"
2021,ILLINOIS,17,40,MASON,125,CORN,"CORN, GRAIN - ACRES HARVESTED","116,300"
2021,ILLINOIS,17,40,MASON,125,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","22,958,000"
2021,ILLINOIS,17,40,MASON,125,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",197.4
2021,ILLINOIS,17,40,MASON,125,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",500
2021,ILLINOIS,17,40,MASON,125,HAY,"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","1,440"
2021,ILLINOIS,17,40,MASON,125,HAY,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",2.9
2021,ILLINOIS,17,40,MASON,125,SOYBEANS,SOYBEANS - ACRES HARVESTED,"93,700"
2021,ILLINOIS,17,40,MASON,125,SOYBEANS,SOYBEANS - ACRES PLANTED,"94,400"
2021,ILLINOIS,17,40,MASON,125,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","5,987,000"
2021,ILLINOIS,17,40,MASON,125,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63.9
2021,ILLINOIS,17,40,MASON,125,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","2,750"
2021,ILLINOIS,17,40,MASON,125,WHEAT,"WHEAT, WINTER - ACRES PLANTED","3,200"
2021,ILLINOIS,17,40,MASON,125,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","218,000"
2021,ILLINOIS,17,40,MASON,125,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",79.3
2021,ILLINOIS,17,40,MCLEAN,113,CORN,CORN - ACRES PLANTED,"316,000"
2021,ILLINOIS,17,40,MCLEAN,113,CORN,"CORN, GRAIN - ACRES HARVESTED","313,000"
2021,ILLINOIS,17,40,MCLEAN,113,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","64,380,000"
2021,ILLINOIS,17,40,MCLEAN,113,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",205.7
2021,ILLINOIS,17,40,MCLEAN,113,SOYBEANS,SOYBEANS - ACRES HARVESTED,"303,500"
2021,ILLINOIS,17,40,MCLEAN,113,SOYBEANS,SOYBEANS - ACRES PLANTED,"306,000"
2021,ILLINOIS,17,40,MCLEAN,113,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","20,182,000"
2021,ILLINOIS,17,40,MCLEAN,113,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",66.5
2021,ILLINOIS,17,40,MENARD,129,CORN,CORN - ACRES PLANTED,"76,400"
2021,ILLINOIS,17,40,MENARD,129,CORN,"CORN, GRAIN - ACRES HARVESTED","75,400"
2021,ILLINOIS,17,40,MENARD,129,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","15,155,000"
2021,ILLINOIS,17,40,MENARD,129,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",201
2021,ILLINOIS,17,40,MENARD,129,SOYBEANS,SOYBEANS - ACRES HARVESTED,"65,800"
2021,ILLINOIS,17,40,MENARD,129,SOYBEANS,SOYBEANS - ACRES PLANTED,"66,300"
2021,ILLINOIS,17,40,MENARD,129,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","4,251,000"
2021,ILLINOIS,17,40,MENARD,129,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",64.6
2021,ILLINOIS,17,40,MENARD,129,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","1,180"
2021,ILLINOIS,17,40,MENARD,129,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,300"
2021,ILLINOIS,17,40,MENARD,129,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","104,000"
2021,ILLINOIS,17,40,MENARD,129,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",88.1
2021,ILLINOIS,17,40,PEORIA,143,CORN,CORN - ACRES PLANTED,"102,500"
2021,ILLINOIS,17,40,PEORIA,143,CORN,"CORN, GRAIN - ACRES HARVESTED","101,200"
2021,ILLINOIS,17,40,PEORIA,143,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","21,758,000"
2021,ILLINOIS,17,40,PEORIA,143,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",215
2021,ILLINOIS,17,40,PEORIA,143,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED",700
2021,ILLINOIS,17,40,PEORIA,143,HAY,"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS",980
2021,ILLINOIS,17,40,PEORIA,143,HAY,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",1.4
2021,ILLINOIS,17,40,PEORIA,143,HAY,"HAY, ALFALFA - ACRES HARVESTED","4,800"
2021,ILLINOIS,17,40,PEORIA,143,HAY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","16,900"
2021,ILLINOIS,17,40,PEORIA,143,HAY,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",3.5
2021,ILLINOIS,17,40,PEORIA,143,SOYBEANS,SOYBEANS - ACRES HARVESTED,"85,900"
2021,ILLINOIS,17,40,PEORIA,143,SOYBEANS,SOYBEANS - ACRES PLANTED,"86,600"
2021,ILLINOIS,17,40,PEORIA,143,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","5,893,000"
2021,ILLINOIS,17,40,PEORIA,143,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",68.6
2021,ILLINOIS,17,40,PEORIA,143,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","1,090"
