Year,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
2021,IOWA,19,BOONE,15,CORN,CORN - ACRES PLANTED,"144,000"
2021,IOWA,19,BOONE,15,CORN,"CORN, GRAIN - ACRES HARVESTED","142,000"
2021,IOWA,19,BOONE,15,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","29,735,000"
2021,IOWA,19,BOONE,15,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",209.4
2021,IOWA,19,BOONE,15,SOYBEANS,SOYBEANS - ACRES HARVESTED,"118,800"
2021,IOWA,19,BOONE,15,SOYBEANS,SOYBEANS - ACRES PLANTED,"119,500"
2021,IOWA,19,BOONE,15,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","7,520,000"
2021,IOWA,19,BOONE,15,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",63.3
2021,IOWA,19,DALLAS,49,CORN,CORN - ACRES PLANTED,"119,000"
2021,IOWA,19,DALLAS,49,CORN,"CORN, GRAIN - ACRES HARVESTED","116,900"
2021,IOWA,19,DALLAS,49,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","24,643,000"
2021,IOWA,19,DALLAS,49,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",210.8
2021,IOWA,19,DALLAS,49,SOYBEANS,SOYBEANS - ACRES HARVESTED,"109,700"
2021,IOWA,19,DALLAS,49,SOYBEANS,SOYBEANS - ACRES PLANTED,"110,500"
2021,IOWA,19,DALLAS,49,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","6,845,000"
2021,IOWA,19,DALLAS,49,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.4
2021,IOWA,19,GRUNDY,75,CORN,CORN - ACRES PLANTED,"153,000"
2021,IOWA,19,GRUNDY,75,CORN,"CORN, GRAIN - ACRES HARVESTED","150,200"
2021,IOWA,19,GRUNDY,75,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","31,617,000"
2021,IOWA,19,GRUNDY,75,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",210.5
2021,IOWA,19,GRUNDY,75,OATS,OATS - ACRES HARVESTED,140
2021,IOWA,19,GRUNDY,75,OATS,OATS - ACRES PLANTED,200
2021,IOWA,19,GRUNDY,75,OATS,"OATS - PRODUCTION, MEASURED IN BU","9,400"
2021,IOWA,19,GRUNDY,75,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",67.1
2021,IOWA,19,GRUNDY,75,SOYBEANS,SOYBEANS - ACRES HARVESTED,"126,100"
2021,IOWA,19,GRUNDY,75,SOYBEANS,SOYBEANS - ACRES PLANTED,"127,000"
2021,IOWA,19,GRUNDY,75,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","8,247,000"
2021,IOWA,19,GRUNDY,75,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",65.4
2021,IOWA,19,HAMILTON,79,SOYBEANS,SOYBEANS - ACRES HARVESTED,"126,100"
2021,IOWA,19,HAMILTON,79,SOYBEANS,SOYBEANS - ACRES PLANTED,"127,000"
2021,IOWA,19,HAMILTON,79,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","7,705,000"
2021,IOWA,19,HAMILTON,79,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",61.1
2021,IOWA,19,HARDIN,83,CORN,CORN - ACRES PLANTED,"178,500"
2021,IOWA,19,HARDIN,83,CORN,"CORN, GRAIN - ACRES HARVESTED","175,400"
2021,IOWA,19,HARDIN,83,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","34,010,000"
2021,IOWA,19,HARDIN,83,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",193.9
2021,IOWA,19,HARDIN,83,SOYBEANS,SOYBEANS - ACRES HARVESTED,"103,900"
2021,IOWA,19,HARDIN,83,SOYBEANS,SOYBEANS - ACRES PLANTED,"104,500"
