Year,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
2021,KANSAS,20,BARTON,9,CORN,CORN - ACRES PLANTED,"32,500"
2021,KANSAS,20,BARTON,9,CORN,"CORN, GRAIN - ACRES HARVESTED","31,100"
2021,KANSAS,20,BARTON,9,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","4,821,000"
2021,KANSAS,20,BARTON,9,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",155
2021,KANSAS,20,BARTON,9,SORGHUM,SORGHUM - ACRES PLANTED,"93,400"
2021,KANSAS,20,BARTON,9,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","88,500"
2021,KANSAS,20,BARTON,9,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","7,806,000"
2021,KANSAS,20,BARTON,9,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",88.2
2021,KANSAS,20,BARTON,9,SOYBEANS,SOYBEANS - ACRES HARVESTED,"44,200"
2021,KANSAS,20,BARTON,9,SOYBEANS,SOYBEANS - ACRES PLANTED,"44,600"
2021,KANSAS,20,BARTON,9,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","1,649,000"
2021,KANSAS,20,BARTON,9,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37.3
2021,KANSAS,20,BARTON,9,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","130,800"
2021,KANSAS,20,BARTON,9,WHEAT,"WHEAT, WINTER - ACRES PLANTED","136,000"
2021,KANSAS,20,BARTON,9,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","6,945,000"
2021,KANSAS,20,BARTON,9,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",53.1
2021,KANSAS,20,DICKINSON,41,CORN,CORN - ACRES PLANTED,"23,300"
2021,KANSAS,20,DICKINSON,41,CORN,"CORN, GRAIN - ACRES HARVESTED","22,200"
2021,KANSAS,20,DICKINSON,41,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","2,944,000"
2021,KANSAS,20,DICKINSON,41,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.6
2021,KANSAS,20,DICKINSON,41,SORGHUM,SORGHUM - ACRES PLANTED,"42,800"
2021,KANSAS,20,DICKINSON,41,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","40,400"
2021,KANSAS,20,DICKINSON,41,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","3,773,000"
2021,KANSAS,20,DICKINSON,41,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",93.4
2021,KANSAS,20,DICKINSON,41,SOYBEANS,SOYBEANS - ACRES HARVESTED,"126,000"
2021,KANSAS,20,DICKINSON,41,SOYBEANS,SOYBEANS - ACRES PLANTED,"127,000"
2021,KANSAS,20,DICKINSON,41,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","5,015,000"
2021,KANSAS,20,DICKINSON,41,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",39.8
2021,KANSAS,20,DICKINSON,41,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","119,100"
2021,KANSAS,20,DICKINSON,41,WHEAT,"WHEAT, WINTER - ACRES PLANTED","123,500"
2021,KANSAS,20,DICKINSON,41,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","6,741,000"
2021,KANSAS,20,DICKINSON,41,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",56.6
2021,KANSAS,20,ELLIS,51,SORGHUM,SORGHUM - ACRES PLANTED,"75,600"
2021,KANSAS,20,ELLIS,51,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","72,100"
2021,KANSAS,20,ELLIS,51,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","6,150,000"
2021,KANSAS,20,ELLIS,51,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",85.3
2021,KANSAS,20,ELLSWORTH,53,CORN,CORN - ACRES PLANTED,"4,900"
2021,KANSAS,20,ELLSWORTH,53,CORN,"CORN, GRAIN - ACRES HARVESTED","4,670"
2021,KANSAS,20,ELLSWORTH,53,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","456,000"
2021,KANSAS,20,ELLSWORTH,53,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97.6
2021,KANSAS,20,ELLSWORTH,53,SORGHUM,SORGHUM - ACRES PLANTED,"41,700"
2021,KANSAS,20,ELLSWORTH,53,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","39,600"
2021,KANSAS,20,ELLSWORTH,53,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","3,251,000"
2021,KANSAS,20,ELLSWORTH,53,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",82.1
2021,KANSAS,20,ELLSWORTH,53,SOYBEANS,SOYBEANS - ACRES HARVESTED,"23,800"
2021,KANSAS,20,ELLSWORTH,53,SOYBEANS,SOYBEANS - ACRES PLANTED,"24,000"
2021,KANSAS,20,ELLSWORTH,53,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","804,000"
2021,KANSAS,20,ELLSWORTH,53,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.8
2021,KANSAS,20,ELLSWORTH,53,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","69,600"
2021,KANSAS,20,ELLSWORTH,53,WHEAT,"WHEAT, WINTER - ACRES PLANTED","73,000"
2021,KANSAS,20,ELLSWORTH,53,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","3,250,000"
2021,KANSAS,20,ELLSWORTH,53,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",46.7
2021,KANSAS,20,MARION,115,CORN,CORN - ACRES PLANTED,"69,700"
2021,KANSAS,20,MARION,115,CORN,"CORN, GRAIN - ACRES HARVESTED","65,600"
2021,KANSAS,20,MARION,115,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","7,255,000"
2021,KANSAS,20,MARION,115,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",110.6
2021,KANSAS,20,MARION,115,SORGHUM,SORGHUM - ACRES PLANTED,"16,400"
2021,KANSAS,20,MARION,115,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","15,600"
2021,KANSAS,20,MARION,115,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","1,225,000"
2021,KANSAS,20,MARION,115,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",78.5
2021,KANSAS,20,MARION,115,SOYBEANS,SOYBEANS - ACRES HARVESTED,"117,100"
2021,KANSAS,20,MARION,115,SOYBEANS,SOYBEANS - ACRES PLANTED,"118,000"
2021,KANSAS,20,MARION,115,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","4,415,000"
2021,KANSAS,20,MARION,115,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37.7
2021,KANSAS,20,MCPHERSON,113,CORN,CORN - ACRES PLANTED,"47,700"
2021,KANSAS,20,MCPHERSON,113,CORN,"CORN, GRAIN - ACRES HARVESTED","44,700"
2021,KANSAS,20,MCPHERSON,113,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","5,467,000"
2021,KANSAS,20,MCPHERSON,113,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",122.3
2021,KANSAS,20,MCPHERSON,113,SORGHUM,SORGHUM - ACRES PLANTED,"56,400"
2021,KANSAS,20,MCPHERSON,113,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","53,100"
2021,KANSAS,20,MCPHERSON,113,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","4,779,000"
2021,KANSAS,20,MCPHERSON,113,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",90
2021,KANSAS,20,MCPHERSON,113,SOYBEANS,SOYBEANS - ACRES HARVESTED,"117,600"
2021,KANSAS,20,MCPHERSON,113,SOYBEANS,SOYBEANS - ACRES PLANTED,"118,500"
2021,KANSAS,20,MCPHERSON,113,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","3,987,000"
2021,KANSAS,20,MCPHERSON,113,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.9
2021,KANSAS,20,MCPHERSON,113,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","177,400"
2021,KANSAS,20,MCPHERSON,113,WHEAT,"WHEAT, WINTER - ACRES PLANTED","184,000"
2021,KANSAS,20,MCPHERSON,113,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","7,726,000"
2021,KANSAS,20,MCPHERSON,113,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",43.6
2021,KANSAS,20,RICE,159,SOYBEANS,SOYBEANS - ACRES HARVESTED,"66,100"
2021,KANSAS,20,RICE,159,SOYBEANS,SOYBEANS - ACRES PLANTED,"67,100"
2021,KANSAS,20,RICE,159,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","2,452,000"
2021,KANSAS,20,RICE,159,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",37.1
2021,KANSAS,20,RICE,159,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","134,500"
2021,KANSAS,20,RICE,159,WHEAT,"WHEAT, WINTER - ACRES PLANTED","139,500"
2021,KANSAS,20,RICE,159,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","7,169,000"
2021,KANSAS,20,RICE,159,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",53.3
2021,KANSAS,20,RUSH,165,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","96,700"
2021,KANSAS,20,RUSH,165,WHEAT,"WHEAT, WINTER - ACRES PLANTED","100,000"
2021,KANSAS,20,RUSH,165,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","5,086,000"
2021,KANSAS,20,RUSH,165,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",52.6
2021,KANSAS,20,RUSSELL,167,SORGHUM,SORGHUM - ACRES PLANTED,"48,400"
2021,KANSAS,20,RUSSELL,167,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","46,200"
2021,KANSAS,20,RUSSELL,167,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","3,706,000"
2021,KANSAS,20,RUSSELL,167,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",80.2
2021,KANSAS,20,RUSSELL,167,SOYBEANS,SOYBEANS - ACRES HARVESTED,"14,000"
2021,KANSAS,20,RUSSELL,167,SOYBEANS,SOYBEANS - ACRES PLANTED,"14,100"
2021,KANSAS,20,RUSSELL,167,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","461,000"
2021,KANSAS,20,RUSSELL,167,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",32.9
2021,KANSAS,20,RUSSELL,167,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","65,200"
2021,KANSAS,20,RUSSELL,167,WHEAT,"WHEAT, WINTER - ACRES PLANTED","67,500"
2021,KANSAS,20,RUSSELL,167,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","2,805,000"
2021,KANSAS,20,RUSSELL,167,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",43
2021,KANSAS,20,SALINE,169,CORN,CORN - ACRES PLANTED,"7,800"
2021,KANSAS,20,SALINE,169,CORN,"CORN, GRAIN - ACRES HARVESTED","7,320"
2021,KANSAS,20,SALINE,169,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","851,000"
2021,KANSAS,20,SALINE,169,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.3
2021,KANSAS,20,SALINE,169,SOYBEANS,SOYBEANS - ACRES HARVESTED,"76,000"
2021,KANSAS,20,SALINE,169,SOYBEANS,SOYBEANS - ACRES PLANTED,"76,600"
2021,KANSAS,20,SALINE,169,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","2,576,000"
2021,KANSAS,20,SALINE,169,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.9
2021,KANSAS,20,SALINE,169,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","98,000"
2021,KANSAS,20,SALINE,169,WHEAT,"WHEAT, WINTER - ACRES PLANTED","101,500"
2021,KANSAS,20,SALINE,169,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","4,851,000"
2021,KANSAS,20,SALINE,169,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",49.5
2021,KANSAS,20,ANDERSON,3,CORN,CORN - ACRES PLANTED,"45,400"
2021,KANSAS,20,ANDERSON,3,CORN,"CORN, GRAIN - ACRES HARVESTED","43,400"
2021,KANSAS,20,ANDERSON,3,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","5,060,000"
2021,KANSAS,20,ANDERSON,3,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.6
2021,KANSAS,20,ANDERSON,3,SOYBEANS,SOYBEANS - ACRES HARVESTED,"78,600"
2021,KANSAS,20,ANDERSON,3,SOYBEANS,SOYBEANS - ACRES PLANTED,"79,200"
2021,KANSAS,20,ANDERSON,3,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","3,230,000"
2021,KANSAS,20,ANDERSON,3,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",41.1
2021,KANSAS,20,ANDERSON,3,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","11,000"
2021,KANSAS,20,ANDERSON,3,WHEAT,"WHEAT, WINTER - ACRES PLANTED","11,500"
2021,KANSAS,20,ANDERSON,3,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","438,000"
