Year,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
2021,NEBRASKA,31,DAWSON,47,SORGHUM,SORGHUM - ACRES PLANTED,"1,500"
2021,NEBRASKA,31,DAWSON,47,SORGHUM,"SORGHUM, GRAIN - ACRES HARVESTED","1,210"
2021,NEBRASKA,31,DAWSON,47,SORGHUM,"SORGHUM, GRAIN - PRODUCTION, MEASURED IN BU","129,000"
2021,NEBRASKA,31,DAWSON,47,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",106.6
2021,NEBRASKA,31,DAWSON,47,SOYBEANS,SOYBEANS - ACRES HARVESTED,"76,800"
2021,NEBRASKA,31,DAWSON,47,SOYBEANS,SOYBEANS - ACRES PLANTED,"77,200"
2021,NEBRASKA,31,DAWSON,47,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","5,668,000"
2021,NEBRASKA,31,DAWSON,47,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",73.8
2021,NEBRASKA,31,DAWSON,47,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","1,170"
2021,NEBRASKA,31,DAWSON,47,WHEAT,"WHEAT, WINTER - ACRES PLANTED","1,800"
2021,NEBRASKA,31,DAWSON,47,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","88,900"
2021,NEBRASKA,31,DAWSON,47,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",76
2021,NEBRASKA,31,GREELEY,77,CORN,CORN - ACRES PLANTED,"78,900"
2021,NEBRASKA,31,GREELEY,77,CORN,"CORN, GRAIN - ACRES HARVESTED","76,600"
2021,NEBRASKA,31,GREELEY,77,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,051,000"
2021,NEBRASKA,31,GREELEY,77,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",222.6
2021,NEBRASKA,31,GREELEY,77,SOYBEANS,SOYBEANS - ACRES HARVESTED,"44,500"
2021,NEBRASKA,31,GREELEY,77,SOYBEANS,SOYBEANS - ACRES PLANTED,"44,700"
