Year,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
2021,WISCONSIN,55,ADAMS,1,CORN,CORN - ACRES PLANTED,"26,800"
2021,WISCONSIN,55,ADAMS,1,CORN,"CORN, GRAIN - ACRES HARVESTED","25,200"
2021,WISCONSIN,55,ADAMS,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","3,246,000"
2021,WISCONSIN,55,ADAMS,1,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",128.8
2021,WISCONSIN,55,ADAMS,1,CORN,"CORN, SILAGE - ACRES HARVESTED","1,180"
2021,WISCONSIN,55,ADAMS,1,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","25,400"
2021,WISCONSIN,55,ADAMS,1,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",21.5
2021,WISCONSIN,55,ADAMS,1,OATS,OATS - ACRES HARVESTED,240
2021,WISCONSIN,55,ADAMS,1,OATS,OATS - ACRES PLANTED,"3,200"
2021,WISCONSIN,55,ADAMS,1,OATS,"OATS - PRODUCTION, MEASURED IN BU","10,400"
2021,WISCONSIN,55,ADAMS,1,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",43.3
2021,WISCONSIN,55,ADAMS,1,SOYBEANS,SOYBEANS - ACRES HARVESTED,"12,700"
2021,WISCONSIN,55,ADAMS,1,SOYBEANS,SOYBEANS - ACRES PLANTED,"12,900"
2021,WISCONSIN,55,ADAMS,1,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","668,000"
2021,WISCONSIN,55,ADAMS,1,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.6
2021,WISCONSIN,55,GREEN LAKE,47,CORN,CORN - ACRES PLANTED,"49,300"
2021,WISCONSIN,55,GREEN LAKE,47,CORN,"CORN, GRAIN - ACRES HARVESTED","43,600"
2021,WISCONSIN,55,GREEN LAKE,47,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","7,778,000"
2021,WISCONSIN,55,GREEN LAKE,47,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",178.4
2021,WISCONSIN,55,GREEN LAKE,47,CORN,"CORN, SILAGE - ACRES HARVESTED","4,880"
2021,WISCONSIN,55,GREEN LAKE,47,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","122,000"
2021,WISCONSIN,55,GREEN LAKE,47,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",25
2021,WISCONSIN,55,GREEN LAKE,47,SOYBEANS,SOYBEANS - ACRES HARVESTED,"18,300"
2021,WISCONSIN,55,GREEN LAKE,47,SOYBEANS,SOYBEANS - ACRES PLANTED,"18,600"
2021,WISCONSIN,55,GREEN LAKE,47,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","1,028,000"
2021,WISCONSIN,55,GREEN LAKE,47,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.2
2021,WISCONSIN,55,GREEN LAKE,47,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","4,400"
2021,WISCONSIN,55,GREEN LAKE,47,WHEAT,"WHEAT, WINTER - ACRES PLANTED","5,000"
2021,WISCONSIN,55,GREEN LAKE,47,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","365,000"
2021,WISCONSIN,55,GREEN LAKE,47,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",83
2021,WISCONSIN,55,JUNEAU,57,CORN,CORN - ACRES PLANTED,"40,200"
2021,WISCONSIN,55,JUNEAU,57,CORN,"CORN, GRAIN - ACRES HARVESTED","35,000"
2021,WISCONSIN,55,JUNEAU,57,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","5,436,000"
2021,WISCONSIN,55,JUNEAU,57,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",155.3
2021,WISCONSIN,55,JUNEAU,57,CORN,"CORN, SILAGE - ACRES HARVESTED","4,470"
2021,WISCONSIN,55,JUNEAU,57,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","96,000"
