Program,Year,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
SURVEY,2021,MINNESOTA,27,BENTON,9,CORN,CORN - ACRES PLANTED,"56,000"
SURVEY,2021,MINNESOTA,27,BENTON,9,CORN,"CORN, GRAIN - ACRES HARVESTED","37,800"
SURVEY,2021,MINNESOTA,27,BENTON,9,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","4,993,000"
SURVEY,2021,MINNESOTA,27,BENTON,9,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.1
SURVEY,2021,MINNESOTA,27,BENTON,9,CORN,"CORN, SILAGE - ACRES HARVESTED","16,000"
SURVEY,2021,MINNESOTA,27,BENTON,9,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","232,000"
SURVEY,2021,MINNESOTA,27,BENTON,9,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",14.5
SURVEY,2021,MINNESOTA,27,BENTON,9,OATS,OATS - ACRES HARVESTED,360
SURVEY,2021,MINNESOTA,27,BENTON,9,OATS,OATS - ACRES PLANTED,"1,200"
SURVEY,2021,MINNESOTA,27,BENTON,9,OATS,"OATS - PRODUCTION, MEASURED IN BU","12,200"
SURVEY,2021,MINNESOTA,27,BENTON,9,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",33.9
SURVEY,2021,MINNESOTA,27,BENTON,9,SOYBEANS,SOYBEANS - ACRES HARVESTED,"33,100"
SURVEY,2021,MINNESOTA,27,BENTON,9,SOYBEANS,SOYBEANS - ACRES PLANTED,"33,400"
SURVEY,2021,MINNESOTA,27,BENTON,9,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","1,152,000"
SURVEY,2021,MINNESOTA,27,BENTON,9,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",34.8
SURVEY,2021,MINNESOTA,27,CARVER,19,CORN,CORN - ACRES PLANTED,"53,800"
SURVEY,2021,MINNESOTA,27,CARVER,19,CORN,"CORN, GRAIN - ACRES HARVESTED","48,900"
SURVEY,2021,MINNESOTA,27,CARVER,19,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","9,135,000"
SURVEY,2021,MINNESOTA,27,CARVER,19,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.8
SURVEY,2021,MINNESOTA,27,CARVER,19,CORN,"CORN, SILAGE - ACRES HARVESTED","4,250"
SURVEY,2021,MINNESOTA,27,CARVER,19,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","100,000"
SURVEY,2021,MINNESOTA,27,CARVER,19,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",23.5
SURVEY,2021,MINNESOTA,27,CARVER,19,OATS,OATS - ACRES HARVESTED,480
SURVEY,2021,MINNESOTA,27,CARVER,19,OATS,OATS - ACRES PLANTED,900
SURVEY,2021,MINNESOTA,27,CARVER,19,OATS,"OATS - PRODUCTION, MEASURED IN BU","26,000"
SURVEY,2021,MINNESOTA,27,CARVER,19,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",54.2
SURVEY,2021,MINNESOTA,27,CARVER,19,SOYBEANS,SOYBEANS - ACRES HARVESTED,"42,500"
SURVEY,2021,MINNESOTA,27,CARVER,19,SOYBEANS,SOYBEANS - ACRES PLANTED,"42,900"
SURVEY,2021,MINNESOTA,27,CARVER,19,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","2,448,000"
SURVEY,2021,MINNESOTA,27,CARVER,19,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",57.6
SURVEY,2021,MINNESOTA,27,KANDIYOHI,67,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",960
SURVEY,2021,MINNESOTA,27,KANDIYOHI,67,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,000"
SURVEY,2021,MINNESOTA,27,KANDIYOHI,67,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","43,700"
SURVEY,2021,MINNESOTA,27,KANDIYOHI,67,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",45.5
SURVEY,2021,MINNESOTA,27,MCLEOD,85,CORN,CORN - ACRES PLANTED,"117,500"
SURVEY,2021,MINNESOTA,27,MCLEOD,85,CORN,"CORN, GRAIN - ACRES HARVESTED","113,200"
SURVEY,2021,MINNESOTA,27,MCLEOD,85,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","22,006,000"
SURVEY,2021,MINNESOTA,27,MCLEOD,85,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",194.4
SURVEY,2021,MINNESOTA,27,MCLEOD,85,OATS,OATS - ACRES HARVESTED,470
SURVEY,2021,MINNESOTA,27,MCLEOD,85,OATS,OATS - ACRES PLANTED,900
SURVEY,2021,MINNESOTA,27,MCLEOD,85,OATS,"OATS - PRODUCTION, MEASURED IN BU","27,900"
SURVEY,2021,MINNESOTA,27,MCLEOD,85,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",59.4
SURVEY,2021,MINNESOTA,27,MCLEOD,85,SOYBEANS,SOYBEANS - ACRES HARVESTED,"86,900"
SURVEY,2021,MINNESOTA,27,MCLEOD,85,SOYBEANS,SOYBEANS - ACRES PLANTED,"87,700"
SURVEY,2021,MINNESOTA,27,MCLEOD,85,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","4,614,000"
SURVEY,2021,MINNESOTA,27,MCLEOD,85,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.1
SURVEY,2021,MINNESOTA,27,MCLEOD,85,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",860
SURVEY,2021,MINNESOTA,27,MCLEOD,85,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",900
SURVEY,2021,MINNESOTA,27,MCLEOD,85,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","51,000"
SURVEY,2021,MINNESOTA,27,MCLEOD,85,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",59.3
SURVEY,2021,MINNESOTA,27,MEEKER,93,CORN,CORN - ACRES PLANTED,"127,000"
SURVEY,2021,MINNESOTA,27,MEEKER,93,CORN,"CORN, GRAIN - ACRES HARVESTED","119,800"
SURVEY,2021,MINNESOTA,27,MEEKER,93,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","18,677,000"
SURVEY,2021,MINNESOTA,27,MEEKER,93,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",155.9
SURVEY,2021,MINNESOTA,27,MEEKER,93,CORN,"CORN, SILAGE - ACRES HARVESTED","5,620"
SURVEY,2021,MINNESOTA,27,MEEKER,93,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","101,000"
SURVEY,2021,MINNESOTA,27,MEEKER,93,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",18
SURVEY,2021,MINNESOTA,27,MEEKER,93,SOYBEANS,SOYBEANS - ACRES HARVESTED,"93,700"
SURVEY,2021,MINNESOTA,27,MEEKER,93,SOYBEANS,SOYBEANS - ACRES PLANTED,"94,300"
SURVEY,2021,MINNESOTA,27,MEEKER,93,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","4,235,000"
