Year,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
2021,NORTH DAKOTA,38,EDDY,27,BARLEY,BARLEY - ACRES HARVESTED,"4,850"
2021,NORTH DAKOTA,38,EDDY,27,BARLEY,BARLEY - ACRES PLANTED,"8,000"
2021,NORTH DAKOTA,38,EDDY,27,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU","176,000"
2021,NORTH DAKOTA,38,EDDY,27,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",36.3
2021,NORTH DAKOTA,38,EDDY,27,CORN,CORN - ACRES PLANTED,"44,300"
2021,NORTH DAKOTA,38,EDDY,27,CORN,"CORN, GRAIN - ACRES HARVESTED","39,000"
2021,NORTH DAKOTA,38,EDDY,27,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","3,011,000"
2021,NORTH DAKOTA,38,EDDY,27,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.2
2021,NORTH DAKOTA,38,EDDY,27,CORN,"CORN, SILAGE - ACRES HARVESTED","3,000"
2021,NORTH DAKOTA,38,EDDY,27,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","27,000"
2021,NORTH DAKOTA,38,EDDY,27,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",9
2021,NORTH DAKOTA,38,EDDY,27,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED","17,200"
2021,NORTH DAKOTA,38,EDDY,27,HAY,"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","27,300"
2021,NORTH DAKOTA,38,EDDY,27,HAY,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",1.6
2021,NORTH DAKOTA,38,EDDY,27,HAY,"HAY, ALFALFA - ACRES HARVESTED","11,400"
2021,NORTH DAKOTA,38,EDDY,27,HAY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","10,800"
2021,NORTH DAKOTA,38,EDDY,27,HAY,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",0.95
2021,NORTH DAKOTA,38,EDDY,27,SOYBEANS,SOYBEANS - ACRES HARVESTED,"88,800"
2021,NORTH DAKOTA,38,EDDY,27,SOYBEANS,SOYBEANS - ACRES PLANTED,"90,100"
2021,NORTH DAKOTA,38,EDDY,27,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","1,776,000"
2021,NORTH DAKOTA,38,EDDY,27,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20
2021,NORTH DAKOTA,38,EDDY,27,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","31,000"
2021,NORTH DAKOTA,38,EDDY,27,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","33,200"
2021,NORTH DAKOTA,38,EDDY,27,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","822,000"
2021,NORTH DAKOTA,38,EDDY,27,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",26.5
2021,NORTH DAKOTA,38,FOSTER,31,BARLEY,BARLEY - ACRES HARVESTED,"6,590"
2021,NORTH DAKOTA,38,FOSTER,31,BARLEY,BARLEY - ACRES PLANTED,"7,100"
2021,NORTH DAKOTA,38,FOSTER,31,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU","322,000"
2021,NORTH DAKOTA,38,FOSTER,31,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",48.9
2021,NORTH DAKOTA,38,FOSTER,31,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - ACRES HARVESTED","3,320"
2021,NORTH DAKOTA,38,FOSTER,31,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - ACRES PLANTED","3,500"
2021,NORTH DAKOTA,38,FOSTER,31,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN CWT","34,800"
2021,NORTH DAKOTA,38,FOSTER,31,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","1,050"
2021,NORTH DAKOTA,38,FOSTER,31,CANOLA,CANOLA - ACRES HARVESTED,"1,100"
2021,NORTH DAKOTA,38,FOSTER,31,CANOLA,CANOLA - ACRES PLANTED,"1,100"
2021,NORTH DAKOTA,38,FOSTER,31,CANOLA,"CANOLA - PRODUCTION, MEASURED IN LB","909,000"
2021,NORTH DAKOTA,38,FOSTER,31,CANOLA,"CANOLA - YIELD, MEASURED IN LB / ACRE",830
2021,NORTH DAKOTA,38,FOSTER,31,CORN,CORN - ACRES PLANTED,"92,300"
2021,NORTH DAKOTA,38,FOSTER,31,CORN,"CORN, GRAIN - ACRES HARVESTED","86,000"
2021,NORTH DAKOTA,38,FOSTER,31,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","7,104,000"
2021,NORTH DAKOTA,38,FOSTER,31,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.6
2021,NORTH DAKOTA,38,FOSTER,31,CORN,"CORN, SILAGE - ACRES HARVESTED","3,690"
2021,NORTH DAKOTA,38,FOSTER,31,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","46,100"
2021,NORTH DAKOTA,38,FOSTER,31,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",12.5
2021,NORTH DAKOTA,38,FOSTER,31,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED","5,030"
2021,NORTH DAKOTA,38,FOSTER,31,HAY,"HAY, (EXCL ALFALFA) - PRODUCTION, MEASURED IN TONS","5,600"
2021,NORTH DAKOTA,38,FOSTER,31,HAY,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",1.1
2021,NORTH DAKOTA,38,FOSTER,31,HAY,"HAY, ALFALFA - ACRES HARVESTED","4,120"
2021,NORTH DAKOTA,38,FOSTER,31,HAY,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","6,700"
2021,NORTH DAKOTA,38,FOSTER,31,HAY,"HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE",1.65
2021,NORTH DAKOTA,38,FOSTER,31,SOYBEANS,SOYBEANS - ACRES HARVESTED,"156,700"
2021,NORTH DAKOTA,38,FOSTER,31,SOYBEANS,SOYBEANS - ACRES PLANTED,"158,500"
2021,NORTH DAKOTA,38,FOSTER,31,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","3,244,000"
2021,NORTH DAKOTA,38,FOSTER,31,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",20.7
2021,NORTH DAKOTA,38,FOSTER,31,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","31,900"
2021,NORTH DAKOTA,38,FOSTER,31,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","32,500"
2021,NORTH DAKOTA,38,FOSTER,31,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","1,193,000"
2021,NORTH DAKOTA,38,FOSTER,31,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",37.4
2021,NORTH DAKOTA,38,KIDDER,43,BARLEY,BARLEY - ACRES HARVESTED,"3,590"
2021,NORTH DAKOTA,38,KIDDER,43,BARLEY,BARLEY - ACRES PLANTED,"6,800"
2021,NORTH DAKOTA,38,KIDDER,43,BARLEY,"BARLEY - PRODUCTION, MEASURED IN BU","118,000"
2021,NORTH DAKOTA,38,KIDDER,43,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",32.9
2021,NORTH DAKOTA,38,KIDDER,43,CORN,CORN - ACRES PLANTED,"56,000"
2021,NORTH DAKOTA,38,KIDDER,43,CORN,"CORN, GRAIN - ACRES HARVESTED","37,400"
2021,NORTH DAKOTA,38,KIDDER,43,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","3,583,000"
2021,NORTH DAKOTA,38,KIDDER,43,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",95.8
2021,NORTH DAKOTA,38,KIDDER,43,CORN,"CORN, SILAGE - ACRES HARVESTED","14,100"
2021,NORTH DAKOTA,38,KIDDER,43,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","118,000"
2021,NORTH DAKOTA,38,KIDDER,43,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",8.4
2021,NORTH DAKOTA,38,KIDDER,43,HAY,"HAY, (EXCL ALFALFA) - ACRES HARVESTED","40,300"
