Year,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
2021,OHIO,39,DELAWARE,41,CORN,CORN - ACRES PLANTED,"36,000"
2021,OHIO,39,DELAWARE,41,CORN,"CORN, GRAIN - ACRES HARVESTED","33,600"
2021,OHIO,39,DELAWARE,41,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","6,775,000"
2021,OHIO,39,DELAWARE,41,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",201.6
2021,OHIO,39,DELAWARE,41,SOYBEANS,SOYBEANS - ACRES HARVESTED,"73,400"
2021,OHIO,39,DELAWARE,41,SOYBEANS,SOYBEANS - ACRES PLANTED,"73,700"
2021,OHIO,39,DELAWARE,41,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","4,301,000"
2021,OHIO,39,DELAWARE,41,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",58.6
2021,OHIO,39,DELAWARE,41,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","4,210"
2021,OHIO,39,DELAWARE,41,WHEAT,"WHEAT, WINTER - ACRES PLANTED","4,700"
2021,OHIO,39,DELAWARE,41,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","371,000"
2021,OHIO,39,DELAWARE,41,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",88.1
2021,OHIO,39,FAIRFIELD,45,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","5,470"
2021,OHIO,39,FAIRFIELD,45,WHEAT,"WHEAT, WINTER - ACRES PLANTED","6,200"
2021,OHIO,39,FAIRFIELD,45,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","456,000"
2021,OHIO,39,FAIRFIELD,45,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",83.4
2021,OHIO,39,FAYETTE,47,CORN,CORN - ACRES PLANTED,"88,200"
2021,OHIO,39,FAYETTE,47,CORN,"CORN, GRAIN - ACRES HARVESTED","86,300"
2021,OHIO,39,FAYETTE,47,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","17,873,000"
2021,OHIO,39,FAYETTE,47,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",207.1
2021,OHIO,39,FAYETTE,47,SOYBEANS,SOYBEANS - ACRES HARVESTED,"108,100"
2021,OHIO,39,FAYETTE,47,SOYBEANS,SOYBEANS - ACRES PLANTED,"108,500"
2021,OHIO,39,FAYETTE,47,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","7,167,000"
2021,OHIO,39,FAYETTE,47,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",66.3
2021,OHIO,39,FAYETTE,47,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","7,570"
2021,OHIO,39,FAYETTE,47,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,600"
2021,OHIO,39,FAYETTE,47,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","653,000"
2021,OHIO,39,FAYETTE,47,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",86.3
2021,OHIO,39,FRANKLIN,49,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","1,500"
2021,OHIO,39,FRANKLIN,49,WHEAT,"WHEAT, WINTER - ACRES PLANTED","2,000"
2021,OHIO,39,FRANKLIN,49,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","110,000"
2021,OHIO,39,FRANKLIN,49,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",73.3
2021,OHIO,39,KNOX,83,CORN,CORN - ACRES PLANTED,"51,900"
2021,OHIO,39,KNOX,83,CORN,"CORN, GRAIN - ACRES HARVESTED","48,400"
2021,OHIO,39,KNOX,83,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","8,983,000"
2021,OHIO,39,KNOX,83,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",185.6
2021,OHIO,39,KNOX,83,SOYBEANS,SOYBEANS - ACRES HARVESTED,"59,900"
2021,OHIO,39,KNOX,83,SOYBEANS,SOYBEANS - ACRES PLANTED,"60,100"
2021,OHIO,39,KNOX,83,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","3,289,000"
2021,OHIO,39,KNOX,83,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",54.9
2021,OHIO,39,LICKING,89,CORN,CORN - ACRES PLANTED,"55,600"
2021,OHIO,39,LICKING,89,CORN,"CORN, GRAIN - ACRES HARVESTED","51,700"
2021,OHIO,39,LICKING,89,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","9,294,000"
2021,OHIO,39,LICKING,89,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",179.8
2021,OHIO,39,LICKING,89,SOYBEANS,SOYBEANS - ACRES HARVESTED,"67,900"
2021,OHIO,39,LICKING,89,SOYBEANS,SOYBEANS - ACRES PLANTED,"68,200"
2021,OHIO,39,LICKING,89,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","3,605,000"
2021,OHIO,39,LICKING,89,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.1
2021,OHIO,39,MADISON,97,CORN,CORN - ACRES PLANTED,"97,300"
2021,OHIO,39,MADISON,97,CORN,"CORN, GRAIN - ACRES HARVESTED","90,900"
2021,OHIO,39,MADISON,97,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","19,098,000"
2021,OHIO,39,MADISON,97,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",210.1
2021,OHIO,39,MADISON,97,SOYBEANS,SOYBEANS - ACRES HARVESTED,"124,100"
2021,OHIO,39,MADISON,97,SOYBEANS,SOYBEANS - ACRES PLANTED,"124,500"
2021,OHIO,39,MADISON,97,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","7,719,000"
2021,OHIO,39,MADISON,97,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.2
2021,OHIO,39,MADISON,97,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","6,940"
2021,OHIO,39,MADISON,97,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,700"
2021,OHIO,39,MADISON,97,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","597,000"
2021,OHIO,39,MADISON,97,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",86
2021,OHIO,39,MARION,101,CORN,CORN - ACRES PLANTED,"69,300"
2021,OHIO,39,MARION,101,CORN,"CORN, GRAIN - ACRES HARVESTED","66,500"
2021,OHIO,39,MARION,101,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","12,710,000"
2021,OHIO,39,MARION,101,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",191.1
2021,OHIO,39,MORROW,117,CORN,CORN - ACRES PLANTED,"46,200"
2021,OHIO,39,MORROW,117,CORN,"CORN, GRAIN - ACRES HARVESTED","44,700"
2021,OHIO,39,MORROW,117,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","8,551,000"
2021,OHIO,39,MORROW,117,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",191.3
2021,OHIO,39,MORROW,117,SOYBEANS,SOYBEANS - ACRES HARVESTED,"75,300"
2021,OHIO,39,MORROW,117,SOYBEANS,SOYBEANS - ACRES PLANTED,"75,600"
2021,OHIO,39,MORROW,117,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","4,044,000"
2021,OHIO,39,MORROW,117,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",53.7
2021,OHIO,39,MORROW,117,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","7,480"
2021,OHIO,39,MORROW,117,WHEAT,"WHEAT, WINTER - ACRES PLANTED","8,300"
2021,OHIO,39,MORROW,117,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","601,000"
2021,OHIO,39,MORROW,117,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",80.3
2021,OHIO,39,PICKAWAY,129,CORN,CORN - ACRES PLANTED,"87,400"
2021,OHIO,39,PICKAWAY,129,CORN,"CORN, GRAIN - ACRES HARVESTED","85,500"
2021,OHIO,39,PICKAWAY,129,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","16,741,000"
2021,OHIO,39,PICKAWAY,129,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",195.8
2021,OHIO,39,PICKAWAY,129,SOYBEANS,SOYBEANS - ACRES HARVESTED,"121,000"
2021,OHIO,39,PICKAWAY,129,SOYBEANS,SOYBEANS - ACRES PLANTED,"121,500"
2021,OHIO,39,PICKAWAY,129,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","6,800,000"
2021,OHIO,39,PICKAWAY,129,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",56.2
2021,OHIO,39,PICKAWAY,129,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","9,750"
2021,OHIO,39,PICKAWAY,129,WHEAT,"WHEAT, WINTER - ACRES PLANTED","11,000"
2021,OHIO,39,PICKAWAY,129,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","803,000"
2021,OHIO,39,PICKAWAY,129,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",82.4
2021,OHIO,39,ROSS,141,CORN,CORN - ACRES PLANTED,"50,300"
2021,OHIO,39,ROSS,141,CORN,"CORN, GRAIN - ACRES HARVESTED","47,900"
2021,OHIO,39,ROSS,141,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","8,962,000"
2021,OHIO,39,ROSS,141,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187.1
2021,OHIO,39,ROSS,141,SOYBEANS,SOYBEANS - ACRES HARVESTED,"61,900"
2021,OHIO,39,ROSS,141,SOYBEANS,SOYBEANS - ACRES PLANTED,"62,200"
2021,OHIO,39,ROSS,141,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","3,435,000"
2021,OHIO,39,ROSS,141,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",55.5
2021,OHIO,39,ROSS,141,WHEAT,"WHEAT, WINTER - ACRES HARVESTED","6,410"
2021,OHIO,39,ROSS,141,WHEAT,"WHEAT, WINTER - ACRES PLANTED","7,200"
2021,OHIO,39,ROSS,141,WHEAT,"WHEAT, WINTER - PRODUCTION, MEASURED IN BU","548,000"
2021,OHIO,39,ROSS,141,WHEAT,"WHEAT, WINTER - YIELD, MEASURED IN BU / ACRE",85.5
2021,OHIO,39,UNION,159,CORN,CORN - ACRES PLANTED,"57,300"
